userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country,title_clean,review_clean,title_normalized,review_normalized,text_clean,text_normalized,text_length,word_count,has_title,has_review,username_clean
luisgamercool23woeo,hi,5,2025-08-16 20:36:19+00:00,41.2.0,False,0,where are the stickers.,,us,hi,where are the stickers.,hi,where are the stickers.,hi where are the stickers.,hi where are the stickers.,26,5,True,True,luisgamercool23woeo
AAJAJAJAJANANANNAJ,I HATE TIKTOK,1,2025-08-16 20:27:59+00:00,41.2.0,False,0,TIKTOK HLT BE BANNED FOR NO REASON I HATE TIKTPK AAAAAAAAAAA I VANT TALK TO MY FRIENDS NOW,,us,I HATE TIKTOK,TIKTOK HLT BE BANNED FOR NO REASON I HATE TIKTPK AAAAAAAAAAA I VANT TALK TO MY FRIENDS NOW,i hate tiktok,tiktok hlt be banned for no reason i hate tiktpk aaaaaaaaaaa i vant talk to my friends now,I HATE TIKTOK TIKTOK HLT BE BANNED FOR NO REASON I HATE TIKTPK AAAAAAAAAAA I VANT TALK TO MY FRIENDS NOW,i hate tiktok tiktok hlt be banned for no reason i hate tiktpk aaaaaaaaaaa i vant talk to my friends now,104,21,True,True,AAJAJAJAJANANANNAJ
god meep,Controlled media.,1,2025-08-16 20:25:38+00:00,41.2.0,False,0,"This review might get taken down. 
TikTok used to be a free app, an entertaining app, and a news source for many. Now it’s being controlled by the trump administration to where it is censoring anything against the administration. The admin is controlling the app to show only things it wants us to see. My best recommendation is to erase the app if you already have it, or to never download the app. We need to use a different news source. TikTok will cease to exist in a couple months just before the launch of a new app called “M”, which is an even more heavily monitored app. The United States is no longer united. The country and its government is not about to fall… it is already falling. An empire which was respected by the entire world is now vanishing, becoming the laughing stock of the world. Our country is being controlled by the elite and by the greedy. We are being separated by in categories. Extremely Rich and filthy poor. They are going to completely take control of the working class if we don’t do anything. Overthrowing governments is in our rights in the constitution which too have been changed to benefit the trump admin. Peaceful protests will not get us anywhere. What we need is rebellion. The government will not be able to handle millions of us. What side of history will you be on?",,us,Controlled media.,"This review might get taken down. TikTok used to be a free app, an entertaining app, and a news source for many. Now it’s being controlled by the trump administration to where it is censoring anything against the administration. The admin is controlling the app to show only things it wants us to see. My best recommendation is to erase the app if you already have it, or to never download the app. We need to use a different news source. TikTok will cease to exist in a couple months just before the launch of a new app called “M”, which is an even more heavily monitored app. The United States is no longer united. The country and its government is not about to fall. . . it is already falling. An empire which was respected by the entire world is now vanishing, becoming the laughing stock of the world. Our country is being controlled by the elite and by the greedy. We are being separated by in categories. Extremely Rich and filthy poor. They are going to completely take control of the working class if we don’t do anything. Overthrowing governments is in our rights in the constitution which too have been changed to benefit the trump admin. Peaceful protests will not get us anywhere. What we need is rebellion. The government will not be able to handle millions of us. What side of history will you be on?",controlled media.,"this review might get taken down. tiktok used to be a free application an entertaining application and a news source for many. now it s being controlled by the trump administration to where it is censoring anything against the administration. the admin is controlling the application to show only things it wants us to see. my best recommendation is to erase the application if you already have it, or to never download the application we need to use a different news source. tiktok will cease to exist in a couple months just before the launch of a new application called m , which is an even more heavily monitored application the united states is no longer united. the country and its government is not about to fall. . . it is already falling. an empire which was respected by the entire world is now vanishing, becoming the laughing stock of the world. our country is being controlled by the elite and by the greedy. we are being separated by in categories. extremely rich and filthy poor. they are going to completely take control of the working class if we don t do anything. overthrowing governments is in our rights in the constitution which too have been changed to benefit the trump admin. peaceful protests will not get us anywhere. what we need is rebellion. the government will not be able to handle millions of us. what side of history will you be on?","Controlled media. This review might get taken down. TikTok used to be a free app, an entertaining app, and a news source for many. Now it’s being controlled by the trump administration to where it is censoring anything against the administration. The admin is controlling the app to show only things it wants us to see. My best recommendation is to erase the app if you already have it, or to never download the app. We need to use a different news source. TikTok will cease to exist in a couple months just before the launch of a new app called “M”, which is an even more heavily monitored app. The United States is no longer united. The country and its government is not about to fall. . . it is already falling. An empire which was respected by the entire world is now vanishing, becoming the laughing stock of the world. Our country is being controlled by the elite and by the greedy. We are being separated by in categories. Extremely Rich and filthy poor. They are going to completely take control of the working class if we don’t do anything. Overthrowing governments is in our rights in the constitution which too have been changed to benefit the trump admin. Peaceful protests will not get us anywhere. What we need is rebellion. The government will not be able to handle millions of us. What side of history will you be on?","controlled media. this review might get taken down. tiktok used to be a free application an entertaining application and a news source for many. now it s being controlled by the trump administration to where it is censoring anything against the administration. the admin is controlling the application to show only things it wants us to see. my best recommendation is to erase the application if you already have it, or to never download the application we need to use a different news source. tiktok will cease to exist in a couple months just before the launch of a new application called m , which is an even more heavily monitored application the united states is no longer united. the country and its government is not about to fall. . . it is already falling. an empire which was respected by the entire world is now vanishing, becoming the laughing stock of the world. our country is being controlled by the elite and by the greedy. we are being separated by in categories. extremely rich and filthy poor. they are going to completely take control of the working class if we don t do anything. overthrowing governments is in our rights in the constitution which too have been changed to benefit the trump admin. peaceful protests will not get us anywhere. what we need is rebellion. the government will not be able to handle millions of us. what side of history will you be on?",1333,242,True,True,god meep
RobinRobert…,Terrible,1,2025-08-16 20:19:20+00:00,41.2.0,False,0,Terrible app to many nude stuff all over videos and other things very bad app,,us,Terrible,Terrible app to many nude stuff all over videos and other things very bad app,terrible,terrible application to many nude stuff all over videos and other things very bad application,Terrible Terrible app to many nude stuff all over videos and other things very bad app,terrible terrible application to many nude stuff all over videos and other things very bad application,86,16,True,True,RobinRobert. . .
Mah’kayla,TikTok,1,2025-08-16 20:11:11+00:00,41.2.0,False,0,It will not let me download the app,,us,TikTok,It will not let me download the app,tiktok,it will not let me download the application,TikTok It will not let me download the app,tiktok it will not let me download the application,42,9,True,True,Mah’kayla
My little 5 star rating,Hashtag Limit..,3,2025-08-16 19:58:40+00:00,41.2.0,False,0,"It would be 5 if my hashtag limit wasn’t 5. yes. FIVE. 5 hashtags per video. That allows me to get less views and likes. It was 7. Which I didn’t really mind but was still annoying, but then I’m posting and it says “Hashtag Limit reached, only 5” or something. Please make it to where there isn’t a limit. Thanks.",,us,Hashtag Limit. .,"It would be 5 if my hashtag limit wasn’t 5. yes. FIVE. 5 hashtags per video. That allows me to get less views and likes. It was 7. Which I didn’t really mind but was still annoying, but then I’m posting and it says “Hashtag Limit reached, only 5” or something. Please make it to where there isn’t a limit. Thanks.",hashtag limit. .,"it would be 5 if my hashtag limit wasn t 5. yes. five. 5 hashtags per video. that allows me to get less views and likes. it was 7. which i didn t really mind but was still annoying, but then i m posting and it says hashtag limit reached, only 5 or something. please make it to where there isn t a limit. thanks.","Hashtag Limit. . It would be 5 if my hashtag limit wasn’t 5. yes. FIVE. 5 hashtags per video. That allows me to get less views and likes. It was 7. Which I didn’t really mind but was still annoying, but then I’m posting and it says “Hashtag Limit reached, only 5” or something. Please make it to where there isn’t a limit. Thanks.","hashtag limit. . it would be 5 if my hashtag limit wasn t 5. yes. five. 5 hashtags per video. that allows me to get less views and likes. it was 7. which i didn t really mind but was still annoying, but then i m posting and it says hashtag limit reached, only 5 or something. please make it to where there isn t a limit. thanks.",330,64,True,True,My little 5 star rating
BzFrmTheVi,Well done,5,2025-08-16 19:34:53+00:00,41.2.0,False,0,IG who?,,us,Well done,IG who?,well done,ig who?,Well done IG who?,well done ig who?,17,4,True,True,BzFrmTheVi
Cummlovers,Unban me,1,2025-08-16 19:20:25+00:00,41.2.0,False,0,I got banned for no reason all I post is my bike,,us,Unban me,I got banned for no reason all I post is my bike,unban me,i got banned for no reason all i post is my bike,Unban me I got banned for no reason all I post is my bike,unban me i got banned for no reason all i post is my bike,57,14,True,True,Cummlovers
Fin ed srt,Gay,1,2025-08-16 19:19:06+00:00,41.2.0,False,0,No this app is terrible it screws with your brain china made it to mess us people up.,,us,Gay,No this app is terrible it screws with your brain china made it to mess us people up.,gay,no this application is terrible it screws with your brain china made it to mess us people up.,Gay No this app is terrible it screws with your brain china made it to mess us people up.,gay no this application is terrible it screws with your brain china made it to mess us people up.,89,19,True,True,Fin ed srt
theamazingpotao,Deleting all of reposts,5,2025-08-16 19:04:07+00:00,41.2.0,False,0,I was wondering if you could add a button for removing all of your reposts entirely instead of doing it one by one because I wanna remove all of my reposts but I repost alot and I’ve been doing so since like 2022 or ever since the repost button was added I feel like it would make it easier for alot of peope,,us,Deleting all of reposts,I was wondering if you could add a button for removing all of your reposts entirely instead of doing it one by one because I wanna remove all of my reposts but I repost alot and I’ve been doing so since like 2022 or ever since the repost button was added I feel like it would make it easier for alot of peope,deleting all of reposts,i was wondering if you could add a button for removing all of your reposts entirely instead of doing it one by one because i wanna remove all of my reposts but i repost alot and i ve been doing so since like 2022 or ever since the repost button was added i feel like it would make it easier for alot of peope,Deleting all of reposts I was wondering if you could add a button for removing all of your reposts entirely instead of doing it one by one because I wanna remove all of my reposts but I repost alot and I’ve been doing so since like 2022 or ever since the repost button was added I feel like it would make it easier for alot of peope,deleting all of reposts i was wondering if you could add a button for removing all of your reposts entirely instead of doing it one by one because i wanna remove all of my reposts but i repost alot and i ve been doing so since like 2022 or ever since the repost button was added i feel like it would make it easier for alot of peope,332,67,True,True,theamazingpotao
kimbo09118,Sometimes sad and happy,4,2025-08-16 18:55:04+00:00,41.2.0,False,0,My dream is become a,,us,Sometimes sad and happy,My dream is become a,sometimes sad and happy,my dream is become a,Sometimes sad and happy My dream is become a,sometimes sad and happy my dream is become a,44,9,True,True,kimbo09118
ashispookie,Mic,5,2025-08-16 18:44:51+00:00,41.2.0,False,0,Pls give me microphone to talk w my friends,,us,Mic,Pls give me microphone to talk w my friends,mic,pls give me microphone to talk w my friends,Mic Pls give me microphone to talk w my friends,mic pls give me microphone to talk w my friends,47,10,True,True,ashispookie
